timestamp,sensor_id,temperature,humidity
01-02-2025 00:00,S2,-0.023152,-1.570662
01-02-2025 01:00,S3,2.056373,-1.570662
01-02-2025 02:00,S1,1.363198,-0.311258
01-02-2025 03:00,S2,1.363198,0.951928
01-02-2025 04:00,S3,-0.251900,1.201539
01-02-2025 05:00,S3,-0.487579,-0.057864
01-02-2025 06:00,S2,-0.487579,-0.689457
01-02-2025 07:00,S3,-0.251900,-0.311258
01-02-2025 08:00,S1,-0.023152,0.320335
01-02-2025 09:00,S2,-0.487579,0.320335
01-02-2025 10:00,S1,-0.945075,0.951928
01-02-2025 11:00,S2,-1.180754,1.579739
01-02-2025 12:00,S3,-0.945075,1.201539
01-02-2025 13:00,S1,-0.945075,0.573728
01-02-2025 14:00,S1,-0.716327,-0.436064
01-02-2025 15:00,S1,-0.716327,0.573728
01-02-2025 16:00,S2,1.134450,1.201539
01-02-2025 17:00,S2,0.670023,2.211331
01-02-2025 18:00,S3,0.441275,2.211331
01-02-2025 19:00,S2,0.441275,1.201539
01-02-2025 20:00,S3,0.441275,0.573728
01-02-2025 21:00,S1,0.441275,-0.689457
01-02-2025 22:00,S2,-1.409502,-0.311258
01-02-2025 23:00,S3,-1.409502,-0.689457
02-02-2025 00:00,S3,-1.409502,-0.689457
02-02-2025 01:00,S1,-1.409502,-0.057864
02-02-2025 02:00,S3,-1.409502,0.320335
02-02-2025 03:00,S3,-1.409502,0.320335
02-02-2025 04:00,S2,-0.945075,0.320335
02-02-2025 05:00,S1,-0.487579,0.951928
02-02-2025 06:00,S1,-0.487579,0.951928
02-02-2025 07:00,S2,0.898771,-0.311258
02-02-2025 08:00,S3,0.670023,-1.570662
02-02-2025 09:00,S3,1.134450,-1.317268
02-02-2025 10:00,S1,-0.487579,-1.317268
02-02-2025 11:00,S2,1.134450,-1.317268
02-02-2025 12:00,S3,0.898771,-1.570662
02-02-2025 13:00,S1,0.898771,-1.570662
02-02-2025 14:00,S3,-0.716327,-1.317268
02-02-2025 15:00,S2,0.898771,-0.057864
02-02-2025 16:00,S1,0.898771,1.201539
02-02-2025 17:00,S1,0.898771,0.951928
02-02-2025 18:00,S1,-0.945075,0.320335
02-02-2025 19:00,S2,-0.945075,-0.311258
02-02-2025 20:00,S2,-1.180754,0.320335
02-02-2025 21:00,S3,0.670023,-0.057864
02-02-2025 22:00,S1,0.670023,-0.689457
02-02-2025 23:00,S1,2.520800,-1.317268
03-02-2025 00:00,S3,0.670023,-0.311258
03-02-2025 01:00,S2,0.898771,-0.311258
